state,x,y
maharashtra,-256,-67
gujarat,-380,39
goa,-266,-180
karnataka,-236,-222
rajasthan,-326,164
punjab,-226,273
haryana,-201,234
madhya pradesh,-210,42
uttar pradesh,-86,143
kerala,-227,-320
tamil nadu,-148,309
sikkim,143,183
west bengal,108, 54
telangana,-121,-103
andhra pradesh,-139,-196
bihar,56,125
jharkhand,31,74
himachal pradesh,-175,319
uttarakhand, -125, 267
chhattisgarh,-45,12
odisha,16,-48
assam,204,149
nagaland,310,145
arunachal pradesh,307,105
manipur,307,105
mizoram,277,56
meghalaya,187,124
tripura,209,73